V1,Estimate,Std..Error,df,t.value,Pr...t..
(Intercept),7.97758765899282,0.449800524933555,27.0054098412308,17.7358344794535,2.08215812598968e-16
cultureEtruscan,0.348762260727542,0.420028284419012,27.0007614894417,0.830330417414518,0.413633865698359
cultureGreek,0.586915926892979,0.374811508299013,26.9950431316039,1.56589622756395,0.129021553419823
cultureHellenistic,1.15892702876738,0.671130930123294,26.9991657238373,1.72682702696249,0.0956251631527154
cultureLuristan,-0.168560881224619,0.358656169309906,27.0032610281372,-0.469979037441204,0.642143505569724
cultureParthian,-0.183341920383195,0.698175844685011,26.9959382868772,-0.262601351477451,0.794851536828701
cultureRoman,0.234386296083487,0.31113097751206,27.0044232951583,0.753336417857659,0.457765901387727
cultureSardinian,1.65408234634615,0.672291594629269,27.007612728867,2.4603644602433,0.0205631564898274
mediumceramic,-1.74623634521199,0.50603537675325,27.0001769084906,-3.45081870839928,0.0018532359636669
mediumfaience,-0.957089921898595,0.648209759392632,26.9899596561851,-1.4765126689783,0.15137972618527
size,0.221150249866512,0.0579523130748494,27.0029602344464,3.81607287324117,0.00071839508584461
"poly(centred_year, 2)1",13.7489303452516,0.167404291708374,526.060333032716,82.1300947839671,3.54534100770865e-302
"poly(centred_year, 2)2",-7.63371536424095,0.129102854478984,526.011548063071,-59.1289433146005,1.6331483788132e-234
Ohioy,0.255124894467741,0.244987281322143,27.0030700390583,1.04138016100627,0.306933729080581
